ORIGINAL_AIR_DATE;RELEASE_YEAR;SPORT;LEAGUE_FULL;PROGRAM_FULL_TITLE;PROGRAMID;CONTENT_PGM_CODE;CONTENT_TITLE_NUM;CHANNEL_NAME
16/6/2025;2025;;;La Casa del Kun;9b7915f7-d989-4134-a102-83c1d5645e25;TAKUN;00019;Disney Plus ESPN Events
16/6/2025;2025;;;La Casa del Kun;9b7915f7-d989-4134-a102-83c1d5645e25;TAKUN;00019;ESPN
23/6/2025;2025;;;La Casa del Kun;dfd79fa2-439a-4b11-882e-34e7307ef08f;TAKUN;00020;ESPN
23/6/2025;2025;;;La Casa del Kun;dfd79fa2-439a-4b11-882e-34e7307ef08f;TAKUN;00020;Disney Plus ESPN Events
8/6/2026;2026;Soccer;;ESPN Mundial;58865da1-e84b-4f00-ab52-cd67b177f9ca;SOAMU;00001;ESPN
8/6/2026;2026;Soccer;;ESPN Mundial;58865da1-e84b-4f00-ab52-cd67b177f9ca;SOAMU;00001;Disney Plus ESPN Events
8/6/2026;2026;Soccer;;ESPN Mundial;3b8f720c-769e-497a-a3f6-cf82a4494026;SOAMU;00114;ESPN
8/6/2026;2026;Soccer;;ESPN Mundial;2fa752bb-8847-42c2-9660-a38258a45d7c;SOCMU;00071;Disney Plus ESPN Events
8/6/2026;2026;Soccer;;ESPN Mundial;3b8f720c-769e-497a-a3f6-cf82a4494026;SOAMU;00114;Disney Plus ESPN Events
8/6/2026;2026;Soccer;;ESPN Mundial;2fa752bb-8847-42c2-9660-a38258a45d7c;SOCMU;00071;ESPN
8/6/2026;2026;Soccer;;ESPN Mundial;2fa752bb-8847-42c2-9660-a38258a45d7c;SOCMU;00071;ESPN Mundial Colombia
8/6/2026;2026;Soccer;;ESPN Mundial;54b55fc3-7a13-4cbe-8b56-b9d02fd0f7e3;SOCMU;00001;ESPN Mundial Colombia
8/6/2026;2026;Soccer;;ESPN Mundial;607de226-74ad-41e4-92f5-abd99a0c9cf8;SOAMU;00043;Disney Plus ESPN Events
8/6/2026;2026;Soccer;;ESPN Mundial;54b55fc3-7a13-4cbe-8b56-b9d02fd0f7e3;SOCMU;00001;ESPN
8/6/2026;2026;Soccer;;ESPN Mundial;54b55fc3-7a13-4cbe-8b56-b9d02fd0f7e3;SOCMU;00001;Disney Plus ESPN Events
8/6/2026;2026;Soccer;;ESPN Mundial;607de226-74ad-41e4-92f5-abd99a0c9cf8;SOAMU;00043;ESPN
8/6/2026;2026;Soccer;;ESPN Mundial;3b8f720c-769e-497a-a3f6-cf82a4494026;SOAMU;00114;ESPN Mundial Argentina
8/6/2026;2026;Soccer;;ESPN Mundial;607de226-74ad-41e4-92f5-abd99a0c9cf8;SOAMU;00043;ESPN Mundial Argentina
8/6/2026;2026;Soccer;;ESPN Mundial;58865da1-e84b-4f00-ab52-cd67b177f9ca;SOAMU;00001;ESPN Mundial Argentina
9/6/2026;2026;Soccer;;ESPN Mundial;9be16624-a13e-4f0e-a99c-97bfad1fde9b;SOAMU;00084;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;62213586-8068-43e9-acc9-196d61275ccc;SOCMU;00041;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;e71c5f6a-a88f-45b7-90e6-8f23c91e51c7;SOCMU;00072;ESPN Mundial Colombia
9/6/2026;2026;Soccer;;ESPN Mundial;9be16624-a13e-4f0e-a99c-97bfad1fde9b;SOAMU;00084;Disney Plus ESPN Events
9/6/2026;2026;Soccer;;ESPN Mundial;ce37303a-1a02-43b9-aeef-f181bad066ac;SOAMU;00115;Disney Plus ESPN Events
9/6/2026;2026;Soccer;;ESPN Mundial;62213586-8068-43e9-acc9-196d61275ccc;SOCMU;00041;ESPN Mundial Colombia
9/6/2026;2026;Soccer;;ESPN Mundial;62213586-8068-43e9-acc9-196d61275ccc;SOCMU;00041;Disney Plus ESPN Events
9/6/2026;2026;Soccer;;ESPN Mundial;af253cb2-4bb3-45c8-a343-b4a1976415aa;SOAMU;00044;ESPN Mundial Argentina
9/6/2026;2026;Soccer;;ESPN Mundial;e71c5f6a-a88f-45b7-90e6-8f23c91e51c7;SOCMU;00072;Disney Plus ESPN Events
9/6/2026;2026;Soccer;;ESPN Mundial;6c5264e8-594d-4c45-80b0-61e9e51fc6af;SOCMU;00002;ESPN Mundial Colombia
9/6/2026;2026;Soccer;;ESPN Mundial;53a980e2-1a5b-401e-b976-0168e9a2cbf6;SOAMU;00002;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;af253cb2-4bb3-45c8-a343-b4a1976415aa;SOAMU;00044;Disney Plus ESPN Events
9/6/2026;2026;Soccer;;ESPN Mundial;9be16624-a13e-4f0e-a99c-97bfad1fde9b;SOAMU;00084;ESPN Mundial Argentina
9/6/2026;2026;Soccer;;ESPN Mundial;7ddf8c08-e14c-46bc-ae38-0d972ebac6f9;SOAMU;00190;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;7ddf8c08-e14c-46bc-ae38-0d972ebac6f9;SOAMU;00190;ESPN Mundial Colombia
9/6/2026;2026;Soccer;;ESPN Mundial;af253cb2-4bb3-45c8-a343-b4a1976415aa;SOAMU;00044;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;6c5264e8-594d-4c45-80b0-61e9e51fc6af;SOCMU;00002;Disney Plus ESPN Events
9/6/2026;2026;Soccer;;ESPN Mundial;7ddf8c08-e14c-46bc-ae38-0d972ebac6f9;SOAMU;00190;Disney Plus ESPN Events
9/6/2026;2026;Soccer;;ESPN Mundial;ce37303a-1a02-43b9-aeef-f181bad066ac;SOAMU;00115;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;53a980e2-1a5b-401e-b976-0168e9a2cbf6;SOAMU;00002;ESPN Mundial Argentina
9/6/2026;2026;Soccer;;ESPN Mundial;e71c5f6a-a88f-45b7-90e6-8f23c91e51c7;SOCMU;00072;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;7ddf8c08-e14c-46bc-ae38-0d972ebac6f9;SOAMU;00190;ESPN Mundial Argentina
9/6/2026;2026;Soccer;;ESPN Mundial;ce37303a-1a02-43b9-aeef-f181bad066ac;SOAMU;00115;ESPN Mundial Argentina
9/6/2026;2026;Soccer;;ESPN Mundial;6c5264e8-594d-4c45-80b0-61e9e51fc6af;SOCMU;00002;ESPN
9/6/2026;2026;Soccer;;ESPN Mundial;53a980e2-1a5b-401e-b976-0168e9a2cbf6;SOAMU;00002;Disney Plus ESPN Events
10/6/2026;2026;Soccer;;ESPN Mundial;a3baf68f-9f54-4843-b539-c3f0da20196e;SOAMU;00151;Disney Plus ESPN Events
10/6/2026;2026;Soccer;;ESPN Mundial;e76fb7bd-380f-4f93-88a0-cbd798b835c7;SOCMU;00073;ESPN
10/6/2026;2026;Soccer;;ESPN Mundial;4a997431-13d3-48d3-a057-d6c816f5f4ed;SOCMU;00003;ESPN Mundial Colombia
10/6/2026;2026;Soccer;;ESPN Mundial;8f62160c-7a52-4eb7-a4fd-4f36a697ad18;SOAMU;00003;Disney Plus ESPN Events
10/6/2026;2026;Soccer;;ESPN Mundial;8f62160c-7a52-4eb7-a4fd-4f36a697ad18;SOAMU;00003;ESPN
10/6/2026;2026;Soccer;;ESPN Mundial;f22d1635-70f0-44b1-b3bb-a70d2978f7ea;SOAMU;00116;Disney Plus ESPN Events
10/6/2026;2026;Soccer;;ESPN Mundial;e668ce82-da03-4011-aa6a-90be114133c3;SOCMU;00108;ESPN
10/6/2026;2026;Soccer;;ESPN Mundial;6fe164ea-3a85-4caa-b1cf-74d02c835a7a;SOAMU;00191;ESPN
10/6/2026;2026;Soccer;;ESPN Mundial;a3baf68f-9f54-4843-b539-c3f0da20196e;SOAMU;00151;ESPN
10/6/2026;2026;Soccer;;ESPN Mundial;4a997431-13d3-48d3-a057-d6c816f5f4ed;SOCMU;00003;Disney Plus ESPN Events
10/6/2026;2026;Soccer;;ESPN Mundial;f22d1635-70f0-44b1-b3bb-a70d2978f7ea;SOAMU;00116;ESPN Mundial Argentina
10/6/2026;2026;Soccer;;ESPN Mundial;a3baf68f-9f54-4843-b539-c3f0da20196e;SOAMU;00151;ESPN Mundial Argentina
10/6/2026;2026;Soccer;;ESPN Mundial;6fe164ea-3a85-4caa-b1cf-74d02c835a7a;SOAMU;00191;ESPN Mundial Argentina
10/6/2026;2026;Soccer;;ESPN Mundial;5fd2408a-c351-4f49-b875-3b902b1e6adc;SOAMU;00045;ESPN Mundial Argentina
10/6/2026;2026;Soccer;;ESPN Mundial;e668ce82-da03-4011-aa6a-90be114133c3;SOCMU;00108;Disney Plus ESPN Events
10/6/2026;2026;Soccer;;ESPN Mundial;6fe164ea-3a85-4caa-b1cf-74d02c835a7a;SOAMU;00191;ESPN Mundial Colombia
